,gene_name,pathway
122,NOL6,Small ribosomal subunit processome
123,RCL1,Small ribosomal subunit processome
124,RRP7A,Small ribosomal subunit processome
125,UTP14A,Small ribosomal subunit processome
126,CNOT1,"CCR4-NOT mRNA deadenylase complex, CNOT6L-CNOT7 variant"
127,CNOT10,"CCR4-NOT mRNA deadenylase complex, CNOT6L-CNOT7 variant"
128,CNOT11,"CCR4-NOT mRNA deadenylase complex, CNOT6L-CNOT7 variant"
129,CNOT2,"CCR4-NOT mRNA deadenylase complex, CNOT6L-CNOT7 variant"
130,CNOT4,"CCR4-NOT mRNA deadenylase complex, CNOT6L-CNOT7 variant"
131,TIMELESS,Replication fork protection complex
132,TIPIN,Replication fork protection complex
133,DDX46,U2 small nuclear ribonucleoprotein complex
134,SNRPB2,U2 small nuclear ribonucleoprotein complex
135,GINS1,GINS complex
136,GINS2,GINS complex
137,KANSL1,NSL histone acetyltransferase complex
138,MCRS1,NSL histone acetyltransferase complex
139,OGT,NSL histone acetyltransferase complex
140,MTOR,mTORC1 complex
141,RPTOR,mTORC1 complex
142,GTF2A1,General transcription factor complex TFIIA
143,GTF2A2,General transcription factor complex TFIIA
144,EXOSC3,"Nucleolar exosome complex, EXOSC10 variant"
145,EXOSC5,"Nucleolar exosome complex, EXOSC10 variant"
146,EXOSC6,"Nucleolar exosome complex, EXOSC10 variant"
147,EXOSC8,"Nucleolar exosome complex, EXOSC10 variant"
148,SRPRA,Signal recognition particle receptor complex
149,SRPRB,Signal recognition particle receptor complex
150,LIN37,Myb-MuvB transcriptional activation complex
151,LIN9,Myb-MuvB transcriptional activation complex
152,GTF3C1,General transcription factor TFIIIC complex
153,GTF3C4,General transcription factor TFIIIC complex
154,GTF3C6,General transcription factor TFIIIC complex
155,CD3EAP,DNA-directed RNA polymerase I complex
156,POLR1B,DNA-directed RNA polymerase I complex
157,POLR1C,DNA-directed RNA polymerase I complex
158,POLR1E,DNA-directed RNA polymerase I complex
159,ZNRD1,DNA-directed RNA polymerase I complex
160,SNRNP70,U1 small nuclear ribonucleoprotein complex
161,SNRPC,U1 small nuclear ribonucleoprotein complex
162,POLR3A,"DNA-directed RNA polymerase III complex, POLR3G variant"
163,POLR3B,"DNA-directed RNA polymerase III complex, POLR3G variant"
164,POLR3E,"DNA-directed RNA polymerase III complex, POLR3G variant"
165,POLR3F,"DNA-directed RNA polymerase III complex, POLR3G variant"
166,GTF2B,General transcription factor TFIIB-TBP complex
167,TBP,General transcription factor TFIIB-TBP complex
168,AURKB,"Chromosomal passenger complex, AURKB variant"
169,INCENP,"Chromosomal passenger complex, AURKB variant"
170,TERF1,Shelterin complex
171,TERF2IP,Shelterin complex
172,MED18,Core mediator complex
173,MED21,Core mediator complex
174,MED6,Core mediator complex
175,SEL1L,Luminal surveillance complex
176,SYVN1,Luminal surveillance complex
177,FTH1,"FTH1-FTL, Ferritin complex"
178,FTL,"FTH1-FTL, Ferritin complex"
179,DAD1,"Oligosaccharyltransferase complex B, MAGT1 variant"
180,DDOST,"Oligosaccharyltransferase complex B, MAGT1 variant"
181,OST4,"Oligosaccharyltransferase complex B, MAGT1 variant"
182,STT3B,"Oligosaccharyltransferase complex B, MAGT1 variant"
183,COPS2,COP9 signalosome variant 1
184,COPS3,COP9 signalosome variant 1
185,COPS4,COP9 signalosome variant 1
186,COPS5,COP9 signalosome variant 1
187,COPS6,COP9 signalosome variant 1
188,COPS8,COP9 signalosome variant 1
189,GPS1,COP9 signalosome variant 1
190,BLOC1S2,BLOC-1 complex
191,BLOC1S6,BLOC-1 complex
192,SNRPD3,U7 small nuclear ribonucleoprotein complex
193,SNRPG,U7 small nuclear ribonucleoprotein complex
194,FARSA,Phenylalanyl-tRNA synthetase complex
195,FARSB,Phenylalanyl-tRNA synthetase complex
196,COMMD4,Commander complex
197,COMMD5,Commander complex
198,CUL2,LRR1-Elongin C-Elongin B E3 ubiquitin ligase complex
199,ELOC,LRR1-Elongin C-Elongin B E3 ubiquitin ligase complex
200,SF3B3,SF3B complex
201,SF3B5,SF3B complex
202,SRP19,Signal recognition particle
203,SRP54,Signal recognition particle
204,SRP68,Signal recognition particle
205,SRP72,Signal recognition particle
206,EIF4A1,"Eukaryotic translation initiation factor 4F, EIF4A1 and EIF4G1 variant"
207,EIF4G1,"Eukaryotic translation initiation factor 4F, EIF4A1 and EIF4G1 variant"
208,TBL3,UTP-B complex
209,WDR36,UTP-B complex
210,CPSF2,Histone pre-RNA core cleavage complex
211,CPSF3,Histone pre-RNA core cleavage complex
212,HAUS4,HAUS complex
213,HAUS5,HAUS complex
214,HAUS6,HAUS complex
215,SPCS2,"Signal peptidase complex, SEC11A variant"
